id_transaccion,fecha_hora,id_cuenta_origen,id_cuenta_destino,tipo_transaccion,monto,estado,canal,descripcion
TRX-20231212-06876,12/12/2023 19:57,ACC-00047,ACC-00398,TRANSFERENCIA,3625549.46,RECHAZADA,WEB,Transferencia a ACC-00398
TRX-20231212-06975,12/12/2023 6:42,ACC-00466,,RETIRO,1375366.91,EXITOSA,APP_MOVIL,Retiro en cajero
TRX-20231212-07225,12/12/2023 10:09,ACC-00262,ACC-00160,TRANSFERENCIA,2839571.17,EXITOSA,APP_MOVIL,Transferencia a ACC-00160
TRX-20231212-07749,12/12/2023 19:02,ACC-00423,ACC-00354,TRANSFERENCIA,3813428.79,EXITOSA,APP_MOVIL,Transferencia a ACC-00354
TRX-20231212-08436,12/12/2023 23:36,ACC-00115,,DEPOSITO,8975384.46,EXITOSA,WEB,Depósito en cuenta
TRX-20231212-09406,12/12/2023 17:31,ACC-00429,,DEPOSITO,9198983.36,EXITOSA,WEB,Depósito en cuenta
TRX-20231212-09789,12/12/2023 21:30,ACC-00104,,RETIRO,2991969.66,EXITOSA,APP_MOVIL,Retiro en cajero
TRX-20231213-00060,12/13/2023 18:05,ACC-00171,ACC-00395,TRANSFERENCIA,712332.68,EXITOSA,APP_MOVIL,Transferencia a ACC-00395
TRX-20231213-01005,12/13/2023 17:51,ACC-00319,ACC-00392,TRANSFERENCIA,1368879.21,PENDIENTE,SUCURSAL,Transferencia a ACC-00392
TRX-20231213-01643,12/13/2023 9:30,ACC-00234,,DEPOSITO,9367368.3,EXITOSA,CAJERO,Depósito en cuenta
TRX-20231213-02924,12/13/2023 4:31,ACC-00334,,PAGO_SERVICIO,146066.16,EXITOSA,APP_MOVIL,Pago de servicio
TRX-20231213-03247,12/13/2023 2:55,ACC-00057,ACC-00023,TRANSFERENCIA,2989318.96,EXITOSA,APP_MOVIL,Transferencia a ACC-00023
TRX-20231213-03959,12/13/2023 14:36,ACC-00265,,DEPOSITO,5615185.69,EXITOSA,WEB,Depósito en cuenta
TRX-20231213-04115,12/13/2023 3:59,ACC-00215,,DEPOSITO,8053561.14,EXITOSA,APP_MOVIL,Depósito en cuenta
TRX-20231213-04397,12/13/2023 16:17,ACC-00107,,RETIRO,1950821.76,EXITOSA,CAJERO,Retiro en cajero
TRX-20231213-06437,12/13/2023 12:10,ACC-00301,,PAGO_SERVICIO,440773.46,EXITOSA,APP_MOVIL,Pago de servicio
TRX-20231213-08002,12/13/2023 12:25,ACC-00253,ACC-00133,TRANSFERENCIA,3402757.32,RECHAZADA,CAJERO,Transferencia a ACC-00133
TRX-20231213-08170,12/13/2023 2:36,ACC-00222,,DEPOSITO,5599721.51,EXITOSA,APP_MOVIL,Depósito en cuenta
TRX-20231213-08321,12/13/2023 17:09,ACC-00132,,RETIRO,2993443.9,EXITOSA,APP_MOVIL,Retiro en cajero
TRX-20231213-09786,12/13/2023 8:21,ACC-00293,ACC-00144,TRANSFERENCIA,4510592.91,EXITOSA,WEB,Transferencia a ACC-00144
TRX-20231214-01584,12/14/2023 14:58,ACC-00025,ACC-00396,TRANSFERENCIA,2036126.8,EXITOSA,APP_MOVIL,Transferencia a ACC-00396
TRX-20231214-02240,12/14/2023 20:10,ACC-00245,ACC-00082,TRANSFERENCIA,1860657.75,EXITOSA,WEB,Transferencia a ACC-00082
TRX-20231214-02520,12/14/2023 16:20,ACC-00464,ACC-00124,TRANSFERENCIA,3551169.33,EXITOSA,CAJERO,Transferencia a ACC-00124
TRX-20231214-03217,12/14/2023 19:34,ACC-00296,ACC-00213,TRANSFERENCIA,2533811.97,EXITOSA,APP_MOVIL,Transferencia a ACC-00213
TRX-20231214-04438,12/14/2023 20:03,ACC-00074,,DEPOSITO,8627925.02,EXITOSA,CAJERO,Depósito en cuenta
TRX-20231214-05224,12/14/2023 21:21,ACC-00037,,RETIRO,1801236.98,EXITOSA,APP_MOVIL,Retiro en cajero
TRX-20231214-05325,12/14/2023 7:26,ACC-00210,ACC-00186,TRANSFERENCIA,2418588.24,EXITOSA,WEB,Transferencia a ACC-00186
TRX-20231214-05538,12/14/2023 8:17,ACC-00427,,RETIRO,2078608.32,EXITOSA,APP_MOVIL,Retiro en cajero
TRX-20231214-05678,12/14/2023 3:55,ACC-00241,,RETIRO,1283521.83,PENDIENTE,APP_MOVIL,Retiro en cajero
TRX-20231214-05800,12/14/2023 7:37,ACC-00060,,RETIRO,741178.36,RECHAZADA,APP_MOVIL,Retiro en cajero
TRX-20231214-05980,12/14/2023 16:12,ACC-00029,,RETIRO,2526615.6,RECHAZADA,APP_MOVIL,Retiro en cajero
TRX-20231214-06291,12/14/2023 9:38,ACC-00012,ACC-00150,TRANSFERENCIA,697317.42,EXITOSA,CAJERO,Transferencia a ACC-00150
TRX-20231214-06704,12/14/2023 19:04,ACC-00301,ACC-00174,TRANSFERENCIA,3097224.46,EXITOSA,CAJERO,Transferencia a ACC-00174
TRX-20231214-07084,12/14/2023 10:35,ACC-00216,ACC-00404,TRANSFERENCIA,814801.39,EXITOSA,CAJERO,Transferencia a ACC-00404
TRX-20231214-07163,12/14/2023 10:17,ACC-00242,,RETIRO,667174.89,EXITOSA,APP_MOVIL,Retiro en cajero
TRX-20231214-07264,12/14/2023 19:34,ACC-00227,ACC-00070,TRANSFERENCIA,1186401.91,EXITOSA,APP_MOVIL,Transferencia a ACC-00070
TRX-20231214-07631,12/14/2023 13:19,ACC-00466,ACC-00352,TRANSFERENCIA,1783467.78,EXITOSA,SUCURSAL,Transferencia a ACC-00352
TRX-20231215-01735,12/15/2023 13:49,ACC-00316,,PAGO_SERVICIO,313938.25,EXITOSA,APP_MOVIL,Pago de servicio
TRX-20231215-02179,12/15/2023 8:26,ACC-00160,,DEPOSITO,7551919.18,EXITOSA,APP_MOVIL,Depósito en cuenta
TRX-20231215-02350,12/15/2023 9:44,ACC-00391,ACC-00482,TRANSFERENCIA,2179393.94,EXITOSA,WEB,Transferencia a ACC-00482
TRX-20231215-03168,12/15/2023 20:38,ACC-00452,,PAGO_SERVICIO,31442.36,EXITOSA,CAJERO,Pago de servicio
TRX-20231215-04171,12/15/2023 11:54,ACC-00356,ACC-00024,TRANSFERENCIA,2264170.74,EXITOSA,APP_MOVIL,Transferencia a ACC-00024
TRX-20231215-06239,12/15/2023 7:38,ACC-00287,ACC-00372,TRANSFERENCIA,1475086.68,EXITOSA,WEB,Transferencia a ACC-00372
TRX-20231215-06878,12/15/2023 14:03,ACC-00322,ACC-00079,TRANSFERENCIA,1300961.27,EXITOSA,APP_MOVIL,Transferencia a ACC-00079
TRX-20231215-07984,12/15/2023 12:24,ACC-00142,,RETIRO,2321741,EXITOSA,APP_MOVIL,Retiro en cajero
TRX-20231215-08723,12/15/2023 16:50,ACC-00147,,DEPOSITO,8805995.82,EXITOSA,APP_MOVIL,Depósito en cuenta
TRX-20231216-02002,12/16/2023 0:15,ACC-00413,ACC-00249,TRANSFERENCIA,3358270.16,EXITOSA,SUCURSAL,Transferencia a ACC-00249
TRX-20231216-03148,12/16/2023 21:43,ACC-00100,,RETIRO,1656150.01,EXITOSA,APP_MOVIL,Retiro en cajero
TRX-20231216-03909,12/16/2023 16:30,ACC-00138,,RETIRO,1510546.03,EXITOSA,APP_MOVIL,Retiro en cajero
TRX-20231216-04375,12/16/2023 8:54,ACC-00192,,DEPOSITO,7393006.92,EXITOSA,APP_MOVIL,Depósito en cuenta
TRX-20231216-05279,12/16/2023 16:06,ACC-00039,ACC-00140,TRANSFERENCIA,1027700.69,EXITOSA,APP_MOVIL,Transferencia a ACC-00140
TRX-20231216-06400,12/16/2023 23:36,ACC-00456,ACC-00492,TRANSFERENCIA,1922584.79,EXITOSA,APP_MOVIL,Transferencia a ACC-00492
TRX-20231216-06673,12/16/2023 2:05,ACC-00481,ACC-00070,TRANSFERENCIA,3807553.66,EXITOSA,APP_MOVIL,Transferencia a ACC-00070
TRX-20231216-07774,12/16/2023 1:36,ACC-00317,ACC-00415,TRANSFERENCIA,3210057.79,EXITOSA,APP_MOVIL,Transferencia a ACC-00415
TRX-20231216-08314,12/16/2023 9:51,ACC-00208,ACC-00381,TRANSFERENCIA,94949.88,EXITOSA,CAJERO,Transferencia a ACC-00381
TRX-20231216-08864,12/16/2023 8:33,ACC-00225,ACC-00075,TRANSFERENCIA,1738228.83,PENDIENTE,APP_MOVIL,Transferencia a ACC-00075
TRX-20231216-09393,12/16/2023 10:45,ACC-00293,,RETIRO,247091.86,EXITOSA,APP_MOVIL,Retiro en cajero
TRX-20231216-09877,12/16/2023 18:37,ACC-00314,,RETIRO,2894292.71,PENDIENTE,WEB,Retiro en cajero
TRX-20231216-09934,12/16/2023 7:47,ACC-00194,ACC-00344,TRANSFERENCIA,23853.64,EXITOSA,APP_MOVIL,Transferencia a ACC-00344
TRX-20231217-00653,12/17/2023 13:46,ACC-00115,,PAGO_SERVICIO,174376.35,EXITOSA,WEB,Pago de servicio
TRX-20231217-02729,12/17/2023 21:06,ACC-00156,ACC-00451,TRANSFERENCIA,4366502.04,EXITOSA,WEB,Transferencia a ACC-00451
TRX-20231217-04085,12/17/2023 20:41,ACC-00161,,PAGO_SERVICIO,133749.73,EXITOSA,APP_MOVIL,Pago de servicio
TRX-20231217-04801,12/17/2023 4:37,ACC-00328,,PAGO_SERVICIO,311472.74,EXITOSA,WEB,Pago de servicio
TRX-20231217-04900,12/17/2023 8:40,ACC-00027,ACC-00235,TRANSFERENCIA,1068031.54,EXITOSA,WEB,Transferencia a ACC-00235
TRX-20231217-04953,12/17/2023 14:36,ACC-00310,ACC-00400,TRANSFERENCIA,3869170.87,EXITOSA,APP_MOVIL,Transferencia a ACC-00400
TRX-20231217-05198,12/17/2023 1:53,ACC-00414,ACC-00285,TRANSFERENCIA,1383570.8,EXITOSA,APP_MOVIL,Transferencia a ACC-00285
TRX-20231217-07162,12/17/2023 14:53,ACC-00093,,DEPOSITO,4152065.22,EXITOSA,APP_MOVIL,Depósito en cuenta
TRX-20231217-08667,12/17/2023 7:55,ACC-00187,,PAGO_SERVICIO,393972.63,EXITOSA,APP_MOVIL,Pago de servicio
TRX-20231217-09017,12/17/2023 7:18,ACC-00438,,PAGO_SERVICIO,154588.15,EXITOSA,APP_MOVIL,Pago de servicio
TRX-20231217-09125,12/17/2023 9:07,ACC-00375,,RETIRO,1523731.75,EXITOSA,CAJERO,Retiro en cajero
TRX-20231217-09543,12/17/2023 13:24,ACC-00371,ACC-00076,TRANSFERENCIA,3919424.9,PENDIENTE,APP_MOVIL,Transferencia a ACC-00076
TRX-20231218-00374,12/18/2023 4:45,ACC-00153,,PAGO_SERVICIO,386152.75,PENDIENTE,CAJERO,Pago de servicio
TRX-20231218-01238,12/18/2023 23:29,ACC-00387,,PAGO_SERVICIO,69762.46,EXITOSA,APP_MOVIL,Pago de servicio
TRX-20231218-01411,12/18/2023 17:27,ACC-00368,ACC-00413,TRANSFERENCIA,2787494.65,EXITOSA,APP_MOVIL,Transferencia a ACC-00413
TRX-20231218-01518,12/18/2023 16:24,ACC-00038,,DEPOSITO,3862778.85,EXITOSA,APP_MOVIL,Depósito en cuenta
TRX-20231218-01551,12/18/2023 12:28,ACC-00256,,DEPOSITO,8721618.58,EXITOSA,CAJERO,Depósito en cuenta
TRX-20231218-01793,12/18/2023 7:09,ACC-00491,ACC-00406,TRANSFERENCIA,580902.86,EXITOSA,APP_MOVIL,Transferencia a ACC-00406
TRX-20231218-02051,12/18/2023 19:20,ACC-00117,,PAGO_SERVICIO,282203.55,EXITOSA,APP_MOVIL,Pago de servicio
TRX-20231218-03344,12/18/2023 2:40,ACC-00356,,DEPOSITO,7270630.1,EXITOSA,CAJERO,Depósito en cuenta
TRX-20231218-03790,12/18/2023 16:47,ACC-00168,,RETIRO,927519.64,EXITOSA,APP_MOVIL,Retiro en cajero
TRX-20231218-03946,12/18/2023 12:17,ACC-00257,ACC-00270,TRANSFERENCIA,1455440.55,EXITOSA,APP_MOVIL,Transferencia a ACC-00270
TRX-20231218-04030,12/18/2023 7:42,ACC-00322,,RETIRO,656823.85,EXITOSA,APP_MOVIL,Retiro en cajero
TRX-20231218-05000,12/18/2023 7:28,ACC-00222,,RETIRO,423226.79,RECHAZADA,CAJERO,Retiro en cajero
TRX-20231218-05876,12/18/2023 11:05,ACC-00378,,RETIRO,938102.2,EXITOSA,SUCURSAL,Retiro en cajero
TRX-20231218-06556,12/18/2023 14:59,ACC-00483,ACC-00437,TRANSFERENCIA,1809455.07,EXITOSA,WEB,Transferencia a ACC-00437
TRX-20231218-07081,12/18/2023 18:04,ACC-00057,ACC-00250,TRANSFERENCIA,2106229.13,EXITOSA,WEB,Transferencia a ACC-00250
TRX-20231218-07206,12/18/2023 1:06,ACC-00158,ACC-00229,TRANSFERENCIA,3121553.25,EXITOSA,CAJERO,Transferencia a ACC-00229
TRX-20231218-07722,12/18/2023 10:00,ACC-00221,,RETIRO,191101.19,EXITOSA,WEB,Retiro en cajero
TRX-20231218-08853,12/18/2023 5:58,ACC-00112,ACC-00046,TRANSFERENCIA,1966531.22,EXITOSA,APP_MOVIL,Transferencia a ACC-00046
TRX-20231219-02215,12/19/2023 2:35,ACC-00112,,DEPOSITO,6869888.89,EXITOSA,APP_MOVIL,Depósito en cuenta
TRX-20231219-02583,12/19/2023 7:03,ACC-00377,ACC-00294,TRANSFERENCIA,113144.5,PENDIENTE,CAJERO,Transferencia a ACC-00294
TRX-20231219-03491,12/19/2023 14:03,ACC-00038,ACC-00253,TRANSFERENCIA,1150939.61,EXITOSA,APP_MOVIL,Transferencia a ACC-00253
TRX-20231219-03719,12/19/2023 0:27,ACC-00441,ACC-00192,TRANSFERENCIA,3305580.29,EXITOSA,CAJERO,Transferencia a ACC-00192
TRX-20231219-04164,12/19/2023 21:20,ACC-00404,ACC-00007,TRANSFERENCIA,3260670.34,EXITOSA,APP_MOVIL,Transferencia a ACC-00007
TRX-20231219-04175,12/19/2023 0:26,ACC-00008,ACC-00294,TRANSFERENCIA,1757860.69,EXITOSA,CAJERO,Transferencia a ACC-00294
TRX-20231219-04205,12/19/2023 14:47,ACC-00398,,PAGO_SERVICIO,351968.39,EXITOSA,CAJERO,Pago de servicio
TRX-20231219-04255,12/19/2023 12:09,ACC-00377,,PAGO_SERVICIO,203128.91,PENDIENTE,APP_MOVIL,Pago de servicio
TRX-20231219-04288,12/19/2023 19:42,ACC-00169,,RETIRO,822455.68,EXITOSA,APP_MOVIL,Retiro en cajero
TRX-20231219-04859,12/19/2023 16:39,ACC-00292,,DEPOSITO,7527999.92,EXITOSA,WEB,Depósito en cuenta
TRX-20231219-04949,12/19/2023 0:58,ACC-00415,ACC-00091,TRANSFERENCIA,41559.43,EXITOSA,APP_MOVIL,Transferencia a ACC-00091
TRX-20231219-05433,12/19/2023 5:33,ACC-00022,,DEPOSITO,7747751.12,EXITOSA,APP_MOVIL,Depósito en cuenta
TRX-20231219-06050,12/19/2023 1:25,ACC-00155,,RETIRO,2955894.04,EXITOSA,APP_MOVIL,Retiro en cajero
TRX-20231219-07275,12/19/2023 20:57,ACC-00108,,PAGO_SERVICIO,423838.8,EXITOSA,WEB,Pago de servicio
TRX-20231219-07344,12/19/2023 15:33,ACC-00377,,DEPOSITO,3754265.76,EXITOSA,APP_MOVIL,Depósito en cuenta
TRX-20231219-07805,12/19/2023 16:17,ACC-00472,ACC-00276,TRANSFERENCIA,539977.76,EXITOSA,WEB,Transferencia a ACC-00276
TRX-20231220-00706,12/20/2023 14:24,ACC-00361,,DEPOSITO,9343646.79,EXITOSA,WEB,Depósito en cuenta
TRX-20231220-00737,12/20/2023 22:03,ACC-00268,,DEPOSITO,1163217.99,PENDIENTE,APP_MOVIL,Depósito en cuenta
TRX-20231220-01820,12/20/2023 16:36,ACC-00292,ACC-00426,TRANSFERENCIA,4378579.06,EXITOSA,APP_MOVIL,Transferencia a ACC-00426
TRX-20231220-02605,12/20/2023 7:40,ACC-00382,ACC-00346,TRANSFERENCIA,483690.26,EXITOSA,WEB,Transferencia a ACC-00346
TRX-20231220-04445,12/20/2023 9:51,ACC-00299,,RETIRO,2336038.09,EXITOSA,WEB,Retiro en cajero
TRX-20231220-04565,12/20/2023 12:07,ACC-00207,,PAGO_SERVICIO,27307.23,EXITOSA,WEB,Pago de servicio
TRX-20231220-06020,12/20/2023 19:39,ACC-00138,,DEPOSITO,5010107.85,PENDIENTE,WEB,Depósito en cuenta
TRX-20231220-06213,12/20/2023 21:58,ACC-00045,,RETIRO,23613.91,EXITOSA,WEB,Retiro en cajero
TRX-20231220-06578,12/20/2023 7:27,ACC-00323,ACC-00150,TRANSFERENCIA,603377.14,EXITOSA,APP_MOVIL,Transferencia a ACC-00150
TRX-20231220-07092,12/20/2023 23:51,ACC-00495,ACC-00125,TRANSFERENCIA,4491823.11,EXITOSA,WEB,Transferencia a ACC-00125
TRX-20231220-08306,12/20/2023 1:25,ACC-00015,,DEPOSITO,8560626.99,PENDIENTE,APP_MOVIL,Depósito en cuenta
TRX-20231220-08900,12/20/2023 23:34,ACC-00358,ACC-00093,TRANSFERENCIA,3210962.6,EXITOSA,APP_MOVIL,Transferencia a ACC-00093
TRX-20231221-00677,12/21/2023 22:24,ACC-00457,ACC-00165,TRANSFERENCIA,4073295.32,EXITOSA,WEB,Transferencia a ACC-00165
TRX-20231221-02932,12/21/2023 16:38,ACC-00243,ACC-00403,TRANSFERENCIA,4104356.55,EXITOSA,APP_MOVIL,Transferencia a ACC-00403
TRX-20231221-03614,12/21/2023 12:37,ACC-00455,,RETIRO,395135.61,EXITOSA,APP_MOVIL,Retiro en cajero
TRX-20231221-04024,12/21/2023 6:11,ACC-00108,ACC-00153,TRANSFERENCIA,4943755.54,EXITOSA,APP_MOVIL,Transferencia a ACC-00153
TRX-20231221-06112,12/21/2023 8:28,ACC-00130,ACC-00131,TRANSFERENCIA,4021237.65,EXITOSA,WEB,Transferencia a ACC-00131
TRX-20231221-07149,12/21/2023 7:24,ACC-00180,,DEPOSITO,3174578.81,EXITOSA,APP_MOVIL,Depósito en cuenta
TRX-20231221-07620,12/21/2023 6:53,ACC-00225,,DEPOSITO,1698840.25,EXITOSA,APP_MOVIL,Depósito en cuenta
TRX-20231221-08599,12/21/2023 2:33,ACC-00275,,DEPOSITO,9565852.3,EXITOSA,SUCURSAL,Depósito en cuenta
TRX-20231221-09213,12/21/2023 12:02,ACC-00316,ACC-00104,TRANSFERENCIA,3724736.43,EXITOSA,SUCURSAL,Transferencia a ACC-00104
TRX-20231221-09845,12/21/2023 2:41,ACC-00430,,RETIRO,2325963.81,EXITOSA,WEB,Retiro en cajero
TRX-20231222-00417,12/22/2023 21:50,ACC-00109,,PAGO_SERVICIO,132522.74,EXITOSA,SUCURSAL,Pago de servicio
TRX-20231222-02411,12/22/2023 2:58,ACC-00074,,DEPOSITO,6834294.78,EXITOSA,SUCURSAL,Depósito en cuenta
TRX-20231222-03956,12/22/2023 7:08,ACC-00184,,DEPOSITO,9712263.44,PENDIENTE,APP_MOVIL,Depósito en cuenta
TRX-20231222-05815,12/22/2023 3:14,ACC-00252,ACC-00279,TRANSFERENCIA,4559637.05,EXITOSA,WEB,Transferencia a ACC-00279
TRX-20231222-06126,12/22/2023 3:01,ACC-00069,ACC-00495,TRANSFERENCIA,4210037.57,EXITOSA,WEB,Transferencia a ACC-00495
TRX-20231222-06795,12/22/2023 6:10,ACC-00121,ACC-00028,TRANSFERENCIA,3463180.52,EXITOSA,SUCURSAL,Transferencia a ACC-00028
TRX-20231222-07235,12/22/2023 21:25,ACC-00352,,DEPOSITO,5002749.85,EXITOSA,WEB,Depósito en cuenta
TRX-20231222-07365,12/22/2023 0:48,ACC-00267,,RETIRO,107266.7,EXITOSA,APP_MOVIL,Retiro en cajero
TRX-20231222-07634,12/22/2023 12:08,ACC-00175,ACC-00125,TRANSFERENCIA,1633535.52,EXITOSA,APP_MOVIL,Transferencia a ACC-00125
TRX-20231222-07796,12/22/2023 7:33,ACC-00147,,DEPOSITO,9893504.65,EXITOSA,APP_MOVIL,Depósito en cuenta
TRX-20231222-08509,12/22/2023 7:48,ACC-00487,,RETIRO,1472349.73,EXITOSA,CAJERO,Retiro en cajero
TRX-20231222-08868,12/22/2023 14:23,ACC-00473,,RETIRO,1285347.6,EXITOSA,APP_MOVIL,Retiro en cajero
TRX-20231222-09077,12/22/2023 1:46,ACC-00164,ACC-00030,TRANSFERENCIA,4002300.58,EXITOSA,CAJERO,Transferencia a ACC-00030
TRX-20231222-09988,12/22/2023 7:06,ACC-00319,ACC-00314,TRANSFERENCIA,4089412.64,RECHAZADA,WEB,Transferencia a ACC-00314
TRX-20231223-00431,12/23/2023 5:15,ACC-00004,,PAGO_SERVICIO,362161.75,PENDIENTE,WEB,Pago de servicio
TRX-20231223-01168,12/23/2023 8:57,ACC-00246,ACC-00343,TRANSFERENCIA,1646579.06,EXITOSA,SUCURSAL,Transferencia a ACC-00343
TRX-20231223-01378,12/23/2023 8:07,ACC-00357,ACC-00497,TRANSFERENCIA,1020504.33,EXITOSA,APP_MOVIL,Transferencia a ACC-00497
TRX-20231223-02207,12/23/2023 22:50,ACC-00171,,PAGO_SERVICIO,455965.47,EXITOSA,WEB,Pago de servicio
TRX-20231223-02391,12/23/2023 7:27,ACC-00488,,RETIRO,1484870.98,EXITOSA,CAJERO,Retiro en cajero
TRX-20231223-03392,12/23/2023 15:26,ACC-00033,ACC-00355,TRANSFERENCIA,2812581.88,EXITOSA,CAJERO,Transferencia a ACC-00355
TRX-20231223-04363,12/23/2023 10:55,ACC-00068,ACC-00101,TRANSFERENCIA,1906869.41,EXITOSA,CAJERO,Transferencia a ACC-00101
TRX-20231223-04813,12/23/2023 11:42,ACC-00009,,PAGO_SERVICIO,417714.99,EXITOSA,WEB,Pago de servicio
TRX-20231223-04874,12/23/2023 22:34,ACC-00397,,DEPOSITO,1537153.11,EXITOSA,APP_MOVIL,Depósito en cuenta
TRX-20231223-05069,12/23/2023 17:44,ACC-00210,,DEPOSITO,7544742.11,EXITOSA,APP_MOVIL,Depósito en cuenta
TRX-20231223-05949,12/23/2023 2:43,ACC-00354,,RETIRO,2264709.8,EXITOSA,APP_MOVIL,Retiro en cajero
TRX-20231223-07025,12/23/2023 8:16,ACC-00323,,PAGO_SERVICIO,410935.87,EXITOSA,APP_MOVIL,Pago de servicio
TRX-20231223-07158,12/23/2023 23:13,ACC-00332,,PAGO_SERVICIO,147574.42,EXITOSA,CAJERO,Pago de servicio
TRX-20231223-07574,12/23/2023 22:18,ACC-00361,,PAGO_SERVICIO,189879.94,EXITOSA,WEB,Pago de servicio
TRX-20231223-08538,12/23/2023 18:09,ACC-00353,ACC-00165,TRANSFERENCIA,1374593.01,EXITOSA,APP_MOVIL,Transferencia a ACC-00165
TRX-20231223-08777,12/23/2023 1:18,ACC-00171,ACC-00212,TRANSFERENCIA,3657542.21,EXITOSA,CAJERO,Transferencia a ACC-00212
TRX-20231223-09557,12/23/2023 14:26,ACC-00497,ACC-00205,TRANSFERENCIA,3431296.14,PENDIENTE,APP_MOVIL,Transferencia a ACC-00205
TRX-20231224-01814,12/24/2023 7:47,ACC-00186,ACC-00286,TRANSFERENCIA,2554372.7,EXITOSA,SUCURSAL,Transferencia a ACC-00286
TRX-20231224-02076,12/24/2023 9:52,ACC-00226,,RETIRO,57624.2,EXITOSA,APP_MOVIL,Retiro en cajero
TRX-20231224-02641,12/24/2023 4:05,ACC-00064,ACC-00027,TRANSFERENCIA,4668631.28,EXITOSA,APP_MOVIL,Transferencia a ACC-00027
TRX-20231224-02766,12/24/2023 13:06,ACC-00489,,PAGO_SERVICIO,112639.78,EXITOSA,WEB,Pago de servicio
TRX-20231224-02868,12/24/2023 21:57,ACC-00209,,PAGO_SERVICIO,400486.13,EXITOSA,APP_MOVIL,Pago de servicio
TRX-20231224-03211,12/24/2023 11:11,ACC-00143,,RETIRO,1631905.98,EXITOSA,APP_MOVIL,Retiro en cajero
TRX-20231224-03233,12/24/2023 6:33,ACC-00398,ACC-00050,TRANSFERENCIA,1238700.14,EXITOSA,APP_MOVIL,Transferencia a ACC-00050
TRX-20231224-03655,12/24/2023 8:11,ACC-00270,,DEPOSITO,8170457.15,EXITOSA,APP_MOVIL,Depósito en cuenta
TRX-20231224-05718,12/24/2023 11:50,ACC-00095,,PAGO_SERVICIO,465133.21,EXITOSA,CAJERO,Pago de servicio
TRX-20231224-06092,12/24/2023 9:59,ACC-00252,,PAGO_SERVICIO,476100.67,EXITOSA,SUCURSAL,Pago de servicio
TRX-20231224-07083,12/24/2023 4:31,ACC-00429,,DEPOSITO,5648183.09,EXITOSA,WEB,Depósito en cuenta
TRX-20231224-08309,12/24/2023 19:39,ACC-00116,ACC-00296,TRANSFERENCIA,1382641.25,EXITOSA,CAJERO,Transferencia a ACC-00296
TRX-20231224-08358,12/24/2023 11:56,ACC-00169,ACC-00007,TRANSFERENCIA,4544403.46,PENDIENTE,APP_MOVIL,Transferencia a ACC-00007
TRX-20231225-00267,12/25/2023 3:50,ACC-00186,ACC-00159,TRANSFERENCIA,977779.17,EXITOSA,WEB,Transferencia a ACC-00159
TRX-20231225-01387,12/25/2023 18:33,ACC-00217,,PAGO_SERVICIO,391817.74,EXITOSA,APP_MOVIL,Pago de servicio
